上海市“地方领导留言板”留言涉及领域回复情况总览,,,,,,
领域,未回复 ,,,已处理,,总计
,数量,百分比,,数量,百分比,
交通,1136,79.83%,,287,20.17%,1423
城建,2018,72.43%,,768,27.57%,2786
金融,260,91.23%,,25,8.77%,285
企业,487,84.11%,,92,15.89%,579
医疗,215,74.91%,,72,25.09%,287
就业,360,79.65%,,92,20.35%,452
治安,862,77.03%,,257,22.97%,1119
教育,458,79.51%,,118,20.49%,576
政务,381,71.62%,,151,28.38%,532
环保,767,75.34%,,251,24.66%,1018
文娱,189,84.75%,,34,15.25%,223
三农,207,58.47%,,147,41.53%,354
旅游,289,32.22%,,608,67.78%,897
其他,1184,79.52%,,305,20.48%,1489
征集,28,96.55%,,1,3.45%,29
总计,8841,73.38%,,3208,26.62%,12049
